sample_id,hole_id,depth_from,depth_to,sample_no,im,tm,ash,vm,fc,sulphur,gross_cv,net_cv,sg,rd,hgi,seam_code_quality,seam_code_73,quality_seam_label,seam_label_73
17,BC01C,18.6,19.45,17,7.11,37.8071961434766,25.4990495811746,23.7265546712637,12.9671996040851,0.477911760068752,2260.83462691869,0.0,1.35776361220152,0.0,0.0,23,15,H2b,H2b
18,BC01C,19.45,19.9,18,5.03,32.5948782300793,43.9144368331034,17.0939388808519,6.39674605596548,0.28333289049755,1225.47862905758,0.0,1.54289697312981,0.0,0.0,0.0,0.0,"",""
19,BC01C,19.9,20.2,19,7.28,35.2889582299706,34.7368872221518,21.0246174710825,8.94953707679506,0.391392927357986,1790.65055941937,0.0,1.46212841192292,0.0,0.0,24,16,H2a,H2a
20,BC01C,20.2,20.8,20,6.24,32.8613659196706,41.8072274418211,18.1207173382809,7.21068930022738,0.41868557323772,1356.40663630891,0.0,1.54185573142202,0.0,0.0,24,16,H2a,H2a
21,BC01C,20.8,21.5,21,8.15,37.8871718477305,25.6588093097025,24.0003967980369,12.45362204453,0.485677007936418,2236.88006630766,0.0,1.37026066946737,0.0,0.0,24,16,H2a,H2a
22,BC01C,21.5,21.7,22,5.93,34.0735103698939,40.1492321847346,18.3803053088736,7.39695213649791,0.339338857009646,1414.38846435301,0.0,1.52948566335061,0.0,0.0,24,16,H2a,H2a
23,BC01C,21.7,22.3,23,8.35,36.3098020736698,32.2145021111378,20.8139566823247,10.6617391328677,0.481099007358411,1805.37562355429,0.0,1.4245531191416,0.0,0.0,24,16,H2a,H2a
24,BC01C,22.3,22.9,24,5.92,30.9706577393054,44.6757903111216,18.0097553958152,6.33689361953177,0.446474859328579,1212.35717266359,0.0,1.62669938736016,0.0,0.0,24,16,H2a,H2a
25,BC01C,22.9,23.15,25,5.37,33.855379097633,36.8623972288891,20.0947358301391,9.18748784333878,0.640127272771718,1651.86107895287,0.0,1.50922191708718,0.0,0.0,24,16,H2a,H2a
26,BC01C,23.15,23.4,26,6.46,33.971957776879,35.5296895202614,21.1091650987318,9.38258479990549,0.612280562586435,1818.26291855562,0.0,1.50235170361011,0.0,0.0,24,16,H2a,H2a
27,BC01C,23.4,24.4,27,6.41,30.66055551806,40.5497071330385,20.0945710108662,8.70210028248347,0.367701317409839,1599.26735189946,0.0,1.52971545408923,0.0,0.0,24,16,H2a,H2a
28,BC01C,24.4,25.1,28,4.72,26.4173787467909,56.9750236363598,14.3338946201251,2.27370299672416,0.226586283330096,642.447024179756,0.0,1.72196291149983,0.0,0.0,0.0,0.0,"",""
29,BC01C,25.1,25.8,29,5.55,33.617208520934,40.513417639674,18.2220762610036,7.65393585753631,0.340734540064068,1400.87720826093,0.0,1.5280142756003,0.0,0.0,25,17,H1,H1
30,BC01C,25.8,26.35,30,5.52,33.9405554777342,41.1748517707283,17.8822916321774,7.00230111936018,0.326241922249039,1415.15998849562,0.0,1.51904052928448,0.0,0.0,25,17,H1,H1
31,BC01C,26.35,26.6,31,6.28,35.9732761355689,30.7136194377676,22.2492865428898,11.0638178837737,0.48525588946762,2008.80088687806,0.0,1.40772243623208,0.0,0.0,25,17,H1,H1
32,BC01C,26.6,27.3,32,6.23,32.6514489526462,43.2108303519822,17.3085776191699,6.82914307620167,0.316380897263083,1248.0562033056,0.0,1.57247047078271,0.0,0.0,0.0,0.0,"",""
33,BC01C,27.3,28.0,33,9.02,40.0755570289134,19.1638368621535,26.3907246844665,14.3698814244666,0.437610462848867,2569.74295726197,0.0,1.29510478846073,0.0,0.0,27,18,G3c,G3c
34,BC01C,28.0,29.0,33,9.02,40.0755570289134,19.1638368621535,26.3907246844665,14.3698814244666,0.437610462848867,2569.74295726197,0.0,1.29510478846073,0.0,0.0,27,18,G3c,G3c
35,BC01C,29.0,29.6,33,9.02,40.0755570289134,19.1638368621535,26.3907246844665,14.3698814244666,0.437610462848867,2569.74295726197,0.0,1.29510478846073,0.0,0.0,27,18,G3c,G3c
36,BC01C,29.6,31.0,34,10.06,41.7820807390796,13.4832701008292,28.2531562173247,16.4814929427666,0.506963246221402,2836.43735450051,0.0,1.24567260381437,0.0,0.0,28,19,G3b,G3b
37,BC01C,31.0,31.3,34,10.06,41.7820807390796,13.4832701008292,28.2531562173247,16.4814929427666,0.506963246221402,2836.43735450051,0.0,1.24567260381437,0.0,0.0,0.0,0.0,"",""
38,BC01C,31.3,31.7,35,4.9,28.8790617866576,55.1258392091617,12.872889816615,3.12220918756573,0.448114260540849,621.646358364445,0.0,1.67194825555686,0.0,0.0,0.0,0.0,"",""
39,BC01C,31.7,31.9,36,10.92,40.5742587180533,17.5305936781743,25.9987618108517,15.9023283670489,0.499128195185816,2623.13147229631,0.0,1.28435384455896,0.0,0.0,30,20,G3a2,G3a2
40,BC01C,31.9,33.45,36,10.92,40.5742587180533,17.5305936781743,25.9987618108517,15.9023283670489,0.499128195185816,2623.13147229631,0.0,1.28435384455896,0.0,0.0,30,20,G3a2,G3a2
41,BC01C,33.45,33.7,36,10.92,40.5742587180533,17.5305936781743,25.9987618108517,15.9023283670489,0.499128195185816,2623.13147229631,0.0,1.28435384455896,0.0,0.0,30,20,G3a2,G3a2
42,BC01C,33.7,34.0,37,4.34,23.0100882319009,56.8416518583876,14.7050731477069,5.44318676200461,0.402253375514279,940.707908968297,0.0,1.75792910784136,0.0,0.0,0.0,0.0,"",""
43,BC01C,34.0,34.3,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
44,BC01C,34.3,35.4,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
45,BC01C,35.4,35.8,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
46,BC01C,35.8,36.2,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
47,BC01C,36.2,36.5,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
48,BC01C,36.5,36.9,38,10.93,42.5518773468641,15.1777940049585,25.3058980287064,16.964430619471,0.447227217331138,2590.95096522247,0.0,1.26800804458685,0.0,0.0,31,21,G3a1,G3a1
49,BC01C,36.9,37.2,39,3.32,23.6344088420819,63.7423589395142,9.82825158202406,2.7949806363798,0.13238387544546,466.558375354235,0.0,1.77976524931182,0.0,0.0,0.0,0.0,"",""
50,BC01C,49.1,49.4,40,3.71,17.7879544506945,66.8712778498051,13.3594574017621,1.98131029773826,0.527731491889352,684.976009916781,0.0,1.91105483784243,0.0,0.0,0.0,0.0,"",""
51,BC01C,49.4,50.1,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
52,BC01C,50.1,50.7,41,10.38,39.6072000529644,18.3654504638935,26.6392640566374,15.3880854265047,0.466861546566684,2677.66795774988,0.0,1.29313429028568,0.0,0.0,33,22,G2b3,G2b3
